"uid_01","hmdb_id","biochemical","uid_01_final","hmdb_id_final","biochemical_final","biochemical_final_final","biochemical_final_final_final","uid_01_final_1","uid_01_final_2"
"CSID24822863#HMDB11241#ME056440","#HMDB0011241#","(2R)-3-(Hexadecyloxy)-2-[(9Z)-9-icosenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:0)#Plasmenyl-PC (36:0)","HMDB11241","","(2R)-3-(Hexadecyloxy)-2-[(9Z)-9-icosenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","(2R)-3-(Hexadecyloxy)-2-[(9Z)-9-icosenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","2r_3_hexadecyloxy_2_9z_9_icosenoyloxy_propyl 2_trimethylammonio_ethyl phosphate","HMDB11241","HMDB0011241"
"CSID24822863#HMDB11241#ME056440","#HMDB0011241#","(2R)-3-(Hexadecyloxy)-2-[(9Z)-9-icosenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:0)#Plasmenyl-PC (36:0)","HMDB11241","","PC(P-18:0/18:0)","PC(P-18:0/18:0)","pc_p_18_0_18_0","HMDB11241","HMDB0011241"
"CSID24822863#HMDB11241#ME056440","#HMDB0011241#","(2R)-3-(Hexadecyloxy)-2-[(9Z)-9-icosenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:0)#Plasmenyl-PC (36:0)","HMDB11241","","Plasmenyl-PC (36:0)","Plasmenyl-PC (36:0)","plasmenyl_pc_36_0","HMDB11241","HMDB0011241"
"CSID24822863#HMDB11241#ME056440","#HMDB0011241#","(2R)-3-(Hexadecyloxy)-2-[(9Z)-9-icosenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:0)#Plasmenyl-PC (36:0)","HMDB11241","HMDB0011241","(2R)-3-(Hexadecyloxy)-2-[(9Z)-9-icosenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","(2R)-3-(Hexadecyloxy)-2-[(9Z)-9-icosenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","2r_3_hexadecyloxy_2_9z_9_icosenoyloxy_propyl 2_trimethylammonio_ethyl phosphate","HMDB11241","HMDB0011241"
"CSID24822863#HMDB11241#ME056440","#HMDB0011241#","(2R)-3-(Hexadecyloxy)-2-[(9Z)-9-icosenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:0)#Plasmenyl-PC (36:0)","HMDB11241","HMDB0011241","PC(P-18:0/18:0)","PC(P-18:0/18:0)","pc_p_18_0_18_0","HMDB11241","HMDB0011241"
"CSID24822863#HMDB11241#ME056440","#HMDB0011241#","(2R)-3-(Hexadecyloxy)-2-[(9Z)-9-icosenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:0)#Plasmenyl-PC (36:0)","HMDB11241","HMDB0011241","Plasmenyl-PC (36:0)","Plasmenyl-PC (36:0)","plasmenyl_pc_36_0","HMDB11241","HMDB0011241"
"CSID24822863#HMDB11241#ME056440","#HMDB0011241#","(2R)-3-(Hexadecyloxy)-2-[(9Z)-9-icosenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:0)#Plasmenyl-PC (36:0)","ME056440","","(2R)-3-(Hexadecyloxy)-2-[(9Z)-9-icosenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","(2R)-3-(Hexadecyloxy)-2-[(9Z)-9-icosenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","2r_3_hexadecyloxy_2_9z_9_icosenoyloxy_propyl 2_trimethylammonio_ethyl phosphate","ME056440","ME056440"
"CSID24822863#HMDB11241#ME056440","#HMDB0011241#","(2R)-3-(Hexadecyloxy)-2-[(9Z)-9-icosenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:0)#Plasmenyl-PC (36:0)","ME056440","","PC(P-18:0/18:0)","PC(P-18:0/18:0)","pc_p_18_0_18_0","ME056440","ME056440"
"CSID24822863#HMDB11241#ME056440","#HMDB0011241#","(2R)-3-(Hexadecyloxy)-2-[(9Z)-9-icosenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:0)#Plasmenyl-PC (36:0)","ME056440","","Plasmenyl-PC (36:0)","Plasmenyl-PC (36:0)","plasmenyl_pc_36_0","ME056440","ME056440"
"CSID24822863#HMDB11241#ME056440","#HMDB0011241#","(2R)-3-(Hexadecyloxy)-2-[(9Z)-9-icosenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:0)#Plasmenyl-PC (36:0)","ME056440","HMDB0011241","(2R)-3-(Hexadecyloxy)-2-[(9Z)-9-icosenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","(2R)-3-(Hexadecyloxy)-2-[(9Z)-9-icosenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","2r_3_hexadecyloxy_2_9z_9_icosenoyloxy_propyl 2_trimethylammonio_ethyl phosphate","ME056440","ME056440"
"CSID24822863#HMDB11241#ME056440","#HMDB0011241#","(2R)-3-(Hexadecyloxy)-2-[(9Z)-9-icosenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:0)#Plasmenyl-PC (36:0)","ME056440","HMDB0011241","PC(P-18:0/18:0)","PC(P-18:0/18:0)","pc_p_18_0_18_0","ME056440","ME056440"
"CSID24822863#HMDB11241#ME056440","#HMDB0011241#","(2R)-3-(Hexadecyloxy)-2-[(9Z)-9-icosenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:0)#Plasmenyl-PC (36:0)","ME056440","HMDB0011241","Plasmenyl-PC (36:0)","Plasmenyl-PC (36:0)","plasmenyl_pc_36_0","ME056440","ME056440"
"HMDB11243#ME056441","HMDB0011243#","PC(P-18:0/18:1(9Z))#Plasmenyl-PC (36:1)","HMDB11243","HMDB0011243","PC(P-18:0/18:1(9Z))","PC(P-18:0/18:1(9Z))","pc_p_18_0_18_1_9z","HMDB11243","HMDB0011243"
"HMDB11243#ME056441","HMDB0011243#","PC(P-18:0/18:1(9Z))#Plasmenyl-PC (36:1)","HMDB11243","HMDB0011243","Plasmenyl-PC (36:1)","Plasmenyl-PC (36:1)","plasmenyl_pc_36_1","HMDB11243","HMDB0011243"
"HMDB11243#ME056441","HMDB0011243#","PC(P-18:0/18:1(9Z))#Plasmenyl-PC (36:1)","HMDB11243","","PC(P-18:0/18:1(9Z))","PC(P-18:0/18:1(9Z))","pc_p_18_0_18_1_9z","HMDB11243","HMDB0011243"
"HMDB11243#ME056441","HMDB0011243#","PC(P-18:0/18:1(9Z))#Plasmenyl-PC (36:1)","HMDB11243","","Plasmenyl-PC (36:1)","Plasmenyl-PC (36:1)","plasmenyl_pc_36_1","HMDB11243","HMDB0011243"
"HMDB11243#ME056441","HMDB0011243#","PC(P-18:0/18:1(9Z))#Plasmenyl-PC (36:1)","ME056441","HMDB0011243","PC(P-18:0/18:1(9Z))","PC(P-18:0/18:1(9Z))","pc_p_18_0_18_1_9z","ME056441","ME056441"
"HMDB11243#ME056441","HMDB0011243#","PC(P-18:0/18:1(9Z))#Plasmenyl-PC (36:1)","ME056441","HMDB0011243","Plasmenyl-PC (36:1)","Plasmenyl-PC (36:1)","plasmenyl_pc_36_1","ME056441","ME056441"
"HMDB11243#ME056441","HMDB0011243#","PC(P-18:0/18:1(9Z))#Plasmenyl-PC (36:1)","ME056441","","PC(P-18:0/18:1(9Z))","PC(P-18:0/18:1(9Z))","pc_p_18_0_18_1_9z","ME056441","ME056441"
"HMDB11243#ME056441","HMDB0011243#","PC(P-18:0/18:1(9Z))#Plasmenyl-PC (36:1)","ME056441","","Plasmenyl-PC (36:1)","Plasmenyl-PC (36:1)","plasmenyl_pc_36_1","ME056441","ME056441"
"CSID24958570#HMDB11244#ME056262","#HMDB0011244#","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:2(9Z,12Z))#PC (p-36:2) or PC (o-36:3)","CSID24958570","","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","2r_3_hexadecyloxy_2_8z_11z_14z_8_11_14_icosatrienoyloxy_propyl 2_trimethylammonio_ethyl phosphate","CSID24958570","CSID24958570"
"CSID24958570#HMDB11244#ME056262","#HMDB0011244#","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:2(9Z,12Z))#PC (p-36:2) or PC (o-36:3)","CSID24958570","","PC(P-18:0/18:2(9Z,12Z))","PC(P-18:0/18:2(9Z,12Z))","pc_p_18_0_18_2_9z_12z","CSID24958570","CSID24958570"
"CSID24958570#HMDB11244#ME056262","#HMDB0011244#","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:2(9Z,12Z))#PC (p-36:2) or PC (o-36:3)","CSID24958570","","PC (p-36:2) or PC (o-36:3)","PC (p-36:2)","pc_p_36_2","CSID24958570","CSID24958570"
"CSID24958570#HMDB11244#ME056262","#HMDB0011244#","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:2(9Z,12Z))#PC (p-36:2) or PC (o-36:3)","CSID24958570","","PC (p-36:2) or PC (o-36:3)","PC (o-36:3)","pc_o_36_3","CSID24958570","CSID24958570"
"CSID24958570#HMDB11244#ME056262","#HMDB0011244#","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:2(9Z,12Z))#PC (p-36:2) or PC (o-36:3)","CSID24958570","HMDB0011244","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","2r_3_hexadecyloxy_2_8z_11z_14z_8_11_14_icosatrienoyloxy_propyl 2_trimethylammonio_ethyl phosphate","CSID24958570","CSID24958570"
"CSID24958570#HMDB11244#ME056262","#HMDB0011244#","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:2(9Z,12Z))#PC (p-36:2) or PC (o-36:3)","CSID24958570","HMDB0011244","PC(P-18:0/18:2(9Z,12Z))","PC(P-18:0/18:2(9Z,12Z))","pc_p_18_0_18_2_9z_12z","CSID24958570","CSID24958570"
"CSID24958570#HMDB11244#ME056262","#HMDB0011244#","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:2(9Z,12Z))#PC (p-36:2) or PC (o-36:3)","CSID24958570","HMDB0011244","PC (p-36:2) or PC (o-36:3)","PC (p-36:2)","pc_p_36_2","CSID24958570","CSID24958570"
"CSID24958570#HMDB11244#ME056262","#HMDB0011244#","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:2(9Z,12Z))#PC (p-36:2) or PC (o-36:3)","CSID24958570","HMDB0011244","PC (p-36:2) or PC (o-36:3)","PC (o-36:3)","pc_o_36_3","CSID24958570","CSID24958570"
"CSID24958570#HMDB11244#ME056262","#HMDB0011244#","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:2(9Z,12Z))#PC (p-36:2) or PC (o-36:3)","HMDB11244","","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","2r_3_hexadecyloxy_2_8z_11z_14z_8_11_14_icosatrienoyloxy_propyl 2_trimethylammonio_ethyl phosphate","HMDB11244","HMDB0011244"
"CSID24958570#HMDB11244#ME056262","#HMDB0011244#","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:2(9Z,12Z))#PC (p-36:2) or PC (o-36:3)","HMDB11244","","PC(P-18:0/18:2(9Z,12Z))","PC(P-18:0/18:2(9Z,12Z))","pc_p_18_0_18_2_9z_12z","HMDB11244","HMDB0011244"
"CSID24958570#HMDB11244#ME056262","#HMDB0011244#","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:2(9Z,12Z))#PC (p-36:2) or PC (o-36:3)","HMDB11244","","PC (p-36:2) or PC (o-36:3)","PC (p-36:2)","pc_p_36_2","HMDB11244","HMDB0011244"
"CSID24958570#HMDB11244#ME056262","#HMDB0011244#","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:2(9Z,12Z))#PC (p-36:2) or PC (o-36:3)","HMDB11244","","PC (p-36:2) or PC (o-36:3)","PC (o-36:3)","pc_o_36_3","HMDB11244","HMDB0011244"
"CSID24958570#HMDB11244#ME056262","#HMDB0011244#","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:2(9Z,12Z))#PC (p-36:2) or PC (o-36:3)","HMDB11244","HMDB0011244","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","2r_3_hexadecyloxy_2_8z_11z_14z_8_11_14_icosatrienoyloxy_propyl 2_trimethylammonio_ethyl phosphate","HMDB11244","HMDB0011244"
"CSID24958570#HMDB11244#ME056262","#HMDB0011244#","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:2(9Z,12Z))#PC (p-36:2) or PC (o-36:3)","HMDB11244","HMDB0011244","PC(P-18:0/18:2(9Z,12Z))","PC(P-18:0/18:2(9Z,12Z))","pc_p_18_0_18_2_9z_12z","HMDB11244","HMDB0011244"
"CSID24958570#HMDB11244#ME056262","#HMDB0011244#","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:2(9Z,12Z))#PC (p-36:2) or PC (o-36:3)","HMDB11244","HMDB0011244","PC (p-36:2) or PC (o-36:3)","PC (p-36:2)","pc_p_36_2","HMDB11244","HMDB0011244"
"CSID24958570#HMDB11244#ME056262","#HMDB0011244#","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:2(9Z,12Z))#PC (p-36:2) or PC (o-36:3)","HMDB11244","HMDB0011244","PC (p-36:2) or PC (o-36:3)","PC (o-36:3)","pc_o_36_3","HMDB11244","HMDB0011244"
"CSID24958570#HMDB11244#ME056262","#HMDB0011244#","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:2(9Z,12Z))#PC (p-36:2) or PC (o-36:3)","ME056262","","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","2r_3_hexadecyloxy_2_8z_11z_14z_8_11_14_icosatrienoyloxy_propyl 2_trimethylammonio_ethyl phosphate","ME056262","ME056262"
"CSID24958570#HMDB11244#ME056262","#HMDB0011244#","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:2(9Z,12Z))#PC (p-36:2) or PC (o-36:3)","ME056262","","PC(P-18:0/18:2(9Z,12Z))","PC(P-18:0/18:2(9Z,12Z))","pc_p_18_0_18_2_9z_12z","ME056262","ME056262"
"CSID24958570#HMDB11244#ME056262","#HMDB0011244#","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:2(9Z,12Z))#PC (p-36:2) or PC (o-36:3)","ME056262","","PC (p-36:2) or PC (o-36:3)","PC (p-36:2)","pc_p_36_2","ME056262","ME056262"
"CSID24958570#HMDB11244#ME056262","#HMDB0011244#","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:2(9Z,12Z))#PC (p-36:2) or PC (o-36:3)","ME056262","","PC (p-36:2) or PC (o-36:3)","PC (o-36:3)","pc_o_36_3","ME056262","ME056262"
"CSID24958570#HMDB11244#ME056262","#HMDB0011244#","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:2(9Z,12Z))#PC (p-36:2) or PC (o-36:3)","ME056262","HMDB0011244","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","2r_3_hexadecyloxy_2_8z_11z_14z_8_11_14_icosatrienoyloxy_propyl 2_trimethylammonio_ethyl phosphate","ME056262","ME056262"
"CSID24958570#HMDB11244#ME056262","#HMDB0011244#","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:2(9Z,12Z))#PC (p-36:2) or PC (o-36:3)","ME056262","HMDB0011244","PC(P-18:0/18:2(9Z,12Z))","PC(P-18:0/18:2(9Z,12Z))","pc_p_18_0_18_2_9z_12z","ME056262","ME056262"
"CSID24958570#HMDB11244#ME056262","#HMDB0011244#","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:2(9Z,12Z))#PC (p-36:2) or PC (o-36:3)","ME056262","HMDB0011244","PC (p-36:2) or PC (o-36:3)","PC (p-36:2)","pc_p_36_2","ME056262","ME056262"
"CSID24958570#HMDB11244#ME056262","#HMDB0011244#","(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:0/18:2(9Z,12Z))#PC (p-36:2) or PC (o-36:3)","ME056262","HMDB0011244","PC (p-36:2) or PC (o-36:3)","PC (o-36:3)","pc_o_36_3","ME056262","ME056262"
"CSID4947173#HMDB11310#ME056278,ME056442","#HMDB0011310#","(2R)-3-(Hexadecyloxy)-2-[(5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:1(9Z)/18:2(9Z,12Z))#Plasmenyl-PC (36:3)","CSID4947173","","(2R)-3-(Hexadecyloxy)-2-[(5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","(2R)-3-(Hexadecyloxy)-2-[(5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","2r_3_hexadecyloxy_2_5z_8z_11z_14z_5_8_11_14_icosatetraenoyloxy_propyl 2_trimethylammonio_ethyl phosphate","CSID4947173","CSID4947173"
"CSID4947173#HMDB11310#ME056278,ME056442","#HMDB0011310#","(2R)-3-(Hexadecyloxy)-2-[(5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:1(9Z)/18:2(9Z,12Z))#Plasmenyl-PC (36:3)","CSID4947173","","PC(P-18:1(9Z)/18:2(9Z,12Z))","PC(P-18:1(9Z)/18:2(9Z,12Z))","pc_p_18_1_9z_18_2_9z_12z","CSID4947173","CSID4947173"
"CSID4947173#HMDB11310#ME056278,ME056442","#HMDB0011310#","(2R)-3-(Hexadecyloxy)-2-[(5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:1(9Z)/18:2(9Z,12Z))#Plasmenyl-PC (36:3)","CSID4947173","","Plasmenyl-PC (36:3)","Plasmenyl-PC (36:3)","plasmenyl_pc_36_3","CSID4947173","CSID4947173"
"CSID4947173#HMDB11310#ME056278,ME056442","#HMDB0011310#","(2R)-3-(Hexadecyloxy)-2-[(5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:1(9Z)/18:2(9Z,12Z))#Plasmenyl-PC (36:3)","CSID4947173","HMDB0011310","(2R)-3-(Hexadecyloxy)-2-[(5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","(2R)-3-(Hexadecyloxy)-2-[(5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","2r_3_hexadecyloxy_2_5z_8z_11z_14z_5_8_11_14_icosatetraenoyloxy_propyl 2_trimethylammonio_ethyl phosphate","CSID4947173","CSID4947173"
"CSID4947173#HMDB11310#ME056278,ME056442","#HMDB0011310#","(2R)-3-(Hexadecyloxy)-2-[(5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:1(9Z)/18:2(9Z,12Z))#Plasmenyl-PC (36:3)","CSID4947173","HMDB0011310","PC(P-18:1(9Z)/18:2(9Z,12Z))","PC(P-18:1(9Z)/18:2(9Z,12Z))","pc_p_18_1_9z_18_2_9z_12z","CSID4947173","CSID4947173"
"CSID4947173#HMDB11310#ME056278,ME056442","#HMDB0011310#","(2R)-3-(Hexadecyloxy)-2-[(5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:1(9Z)/18:2(9Z,12Z))#Plasmenyl-PC (36:3)","CSID4947173","HMDB0011310","Plasmenyl-PC (36:3)","Plasmenyl-PC (36:3)","plasmenyl_pc_36_3","CSID4947173","CSID4947173"
"CSID4947173#HMDB11310#ME056278,ME056442","#HMDB0011310#","(2R)-3-(Hexadecyloxy)-2-[(5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:1(9Z)/18:2(9Z,12Z))#Plasmenyl-PC (36:3)","HMDB11310","","(2R)-3-(Hexadecyloxy)-2-[(5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","(2R)-3-(Hexadecyloxy)-2-[(5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","2r_3_hexadecyloxy_2_5z_8z_11z_14z_5_8_11_14_icosatetraenoyloxy_propyl 2_trimethylammonio_ethyl phosphate","HMDB11310","HMDB0011310"
"CSID4947173#HMDB11310#ME056278,ME056442","#HMDB0011310#","(2R)-3-(Hexadecyloxy)-2-[(5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:1(9Z)/18:2(9Z,12Z))#Plasmenyl-PC (36:3)","HMDB11310","","PC(P-18:1(9Z)/18:2(9Z,12Z))","PC(P-18:1(9Z)/18:2(9Z,12Z))","pc_p_18_1_9z_18_2_9z_12z","HMDB11310","HMDB0011310"
"CSID4947173#HMDB11310#ME056278,ME056442","#HMDB0011310#","(2R)-3-(Hexadecyloxy)-2-[(5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:1(9Z)/18:2(9Z,12Z))#Plasmenyl-PC (36:3)","HMDB11310","","Plasmenyl-PC (36:3)","Plasmenyl-PC (36:3)","plasmenyl_pc_36_3","HMDB11310","HMDB0011310"
"CSID4947173#HMDB11310#ME056278,ME056442","#HMDB0011310#","(2R)-3-(Hexadecyloxy)-2-[(5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:1(9Z)/18:2(9Z,12Z))#Plasmenyl-PC (36:3)","HMDB11310","HMDB0011310","(2R)-3-(Hexadecyloxy)-2-[(5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","(2R)-3-(Hexadecyloxy)-2-[(5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","2r_3_hexadecyloxy_2_5z_8z_11z_14z_5_8_11_14_icosatetraenoyloxy_propyl 2_trimethylammonio_ethyl phosphate","HMDB11310","HMDB0011310"
"CSID4947173#HMDB11310#ME056278,ME056442","#HMDB0011310#","(2R)-3-(Hexadecyloxy)-2-[(5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:1(9Z)/18:2(9Z,12Z))#Plasmenyl-PC (36:3)","HMDB11310","HMDB0011310","PC(P-18:1(9Z)/18:2(9Z,12Z))","PC(P-18:1(9Z)/18:2(9Z,12Z))","pc_p_18_1_9z_18_2_9z_12z","HMDB11310","HMDB0011310"
"CSID4947173#HMDB11310#ME056278,ME056442","#HMDB0011310#","(2R)-3-(Hexadecyloxy)-2-[(5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate#PC(P-18:1(9Z)/18:2(9Z,12Z))#Plasmenyl-PC (36:3)","HMDB11310","HMDB0011310","Plasmenyl-PC (36:3)","Plasmenyl-PC (36:3)","plasmenyl_pc_36_3","HMDB11310","HMDB0011310"
